timestamp,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7
1757460023.571618,423,465,363,487,224,461,100,385
1757460024.081771,369,488,497,467,394,206,423,452
1757460024.5935519,469,447,133,489,199,164,417,469
1757460025.105954,339,472,373,343,133,266,358,336
1757460025.617926,159,275,409,191,251,126,470,308
1757460026.13209,146,397,203,407,223,283,395,422
1757460026.640926,185,458,125,133,339,212,208,346
1757460027.150969,189,324,374,436,144,474,481,450
1757460027.663641,370,384,253,304,405,351,145,136
1757460028.176289,464,209,324,233,179,179,330,254
1757460028.68492,158,488,461,443,169,229,351,280
1757460029.1968791,319,107,181,323,361,222,253,484
1757460029.709125,348,315,296,315,121,225,162,110
1757460030.222192,256,322,138,480,250,400,147,125
1757460030.731106,483,347,461,187,106,321,302,145
1757460031.242316,166,361,499,123,261,297,347,153
1757460031.754346,315,421,461,398,347,435,366,135
1757460032.267755,245,101,160,277,277,319,475,167
1757460032.7809951,372,142,432,280,223,260,169,331
1757460033.308147,360,379,364,409,366,159,172,185
1757460033.915765,254,257,399,496,495,103,135,181
1757460034.427563,426,136,200,413,499,370,453,317
1757460034.9417422,415,170,103,302,276,333,156,227
1757460035.454444,320,208,113,232,236,425,339,295
1757460035.965739,275,410,435,278,423,473,414,154
1757460036.4788349,255,270,244,132,206,288,186,252
1757460036.998373,330,301,324,108,192,220,163,260
1757460039.37994,500,401,192,193,114,310,397,150
1757460039.884104,479,285,366,336,292,243,302,362
1757460040.3904169,129,379,330,155,310,481,473,244
1757460040.8983529,118,197,488,228,353,183,240,188
1757460041.4083462,484,307,301,267,347,369,399,328
1757460041.9203598,403,329,160,275,339,415,408,340
1757460042.427728,101,426,476,215,384,363,389,104
1757460042.944483,265,473,211,289,259,247,105,230
1757460043.459042,486,338,390,128,317,497,476,337
1757460043.972708,363,343,355,302,244,498,135,216
1757460044.4871502,226,490,110,398,245,172,418,290
1757460044.999588,109,134,190,402,451,297,404,378
1757460045.5031738,404,396,477,349,455,313,172,380
1757460046.011306,221,455,433,399,386,255,407,433
1757460046.518371,141,376,230,341,323,204,181,184
1757460047.026477,119,279,167,386,162,186,356,442
1757460047.530839,458,393,320,176,130,429,386,219
1757460048.038646,117,315,309,268,499,228,396,314
1757460048.5420642,222,110,345,179,166,457,274,130
1757460049.046967,387,378,182,271,345,229,391,209
1757460049.5514529,182,199,490,473,110,368,232,493
1757460050.057232,349,497,312,297,349,471,251,213
1757460050.565681,229,191,295,420,428,417,185,361
1757460051.07107,189,483,489,420,410,110,133,160
1757460051.5793412,163,240,228,367,302,480,380,319
1757460052.0831091,290,500,189,297,457,152,427,430
1757460052.591316,293,482,109,143,477,121,444,270
1757460053.099158,102,253,215,485,284,444,331,222
1757460053.608976,391,398,456,468,414,279,107,413
1757460054.1221602,115,299,198,487,396,246,428,174
1757460054.628976,362,298,282,135,286,477,252,246
1757460055.1368499,382,113,375,118,410,242,458,296
1757460055.6443899,351,500,137,155,236,274,348,124
1757460056.1562932,285,119,274,392,245,250,334,292
1757460056.673698,206,352,420,454,161,239,267,346
1757460057.188328,414,107,370,159,443,155,330,260
1757460057.6964428,447,118,454,133,267,439,346,444
1757460058.2115421,190,264,339,225,256,160,494,146
1757460058.722622,226,484,320,116,276,345,197,385
1757460059.228965,393,282,248,453,443,382,471,102
1757460059.736162,353,204,333,325,480,270,302,140
1757460060.242069,357,390,423,307,362,404,274,378
1757460060.748526,108,497,475,392,472,354,464,173
1757460061.252931,375,462,137,234,360,466,174,184
1757460061.761141,401,414,450,356,253,391,125,418
1757460062.2650602,177,207,304,275,213,426,375,133
1757460062.771484,487,222,432,435,442,319,257,474
1757460063.279566,488,115,204,120,210,102,219,130
1757460063.783453,290,297,112,167,343,442,169,225
1757460064.287238,112,117,274,248,389,198,480,276
1757460064.791965,378,312,238,479,269,151,135,428
1757460065.298112,119,469,463,111,132,312,141,126
1757460065.801953,459,358,335,281,305,244,463,436
1757460066.306224,423,329,430,180,232,290,461,416
1757460066.809547,242,272,389,359,225,276,369,398
1757460067.3145332,173,418,248,445,304,304,116,166
1757460067.821391,192,297,110,197,479,474,480,107
1757460068.3323562,414,237,417,332,420,216,287,454
1757460068.8463,114,328,339,384,304,482,405,426
1757460069.354456,409,241,296,388,167,457,269,224
1757460069.861116,391,486,365,211,273,245,450,182
1757460070.3662632,381,195,454,256,194,374,250,459
1757460070.8730528,364,311,468,183,163,325,427,109
1757460071.386147,321,133,470,310,166,318,460,196
1757460071.902643,290,383,160,209,198,369,182,462
1757460072.411954,153,258,440,401,482,447,384,297
1757460072.920203,135,371,300,299,170,353,161,129
1757460073.431288,136,184,419,458,192,137,199,108
1757460073.94273,371,426,266,254,162,381,412,354
1757460074.454772,183,112,276,383,167,314,196,219
1757460074.967754,274,199,465,364,151,463,263,423
1757460075.4788659,483,138,362,454,132,239,215,209
1757460075.992032,494,313,119,176,383,312,288,482
1757460076.505685,234,352,394,472,253,498,277,167
1757460077.0108852,377,288,358,363,266,432,276,107
1757460077.516258,362,437,396,464,314,290,325,184
1757460078.0197911,162,323,488,242,322,200,356,461
1757460078.525454,144,119,491,466,188,356,406,316
1757460079.038677,350,140,465,201,236,138,234,177
1757460079.552062,178,192,168,453,159,293,379,274
1757460080.062019,221,461,239,109,180,438,388,299
1757460080.569607,136,413,485,398,328,226,450,442
1757460081.080744,276,402,205,339,493,133,347,309
1757460081.596128,434,177,466,425,492,213,442,113
1757460082.11152,205,259,400,365,213,263,450,148
1757460082.624135,117,488,211,444,429,131,460,329
1757460083.136616,269,147,291,289,199,231,374,353
1757460083.648614,330,327,254,169,368,144,436,243
1757460084.156482,227,160,227,399,487,263,240,258
1757460084.663842,418,327,380,233,113,166,457,175
1757460085.17444,350,271,171,148,287,310,417,252
1757460085.689176,141,104,379,258,252,269,264,297
1757460086.201636,250,391,168,392,385,267,426,404
1757460086.714261,366,193,130,414,383,193,139,136
1757460087.2219121,121,475,218,317,277,474,437,294
1757460087.7336,226,354,268,487,269,341,438,312
1757460088.245003,327,234,388,106,343,348,168,303
1757460088.7593331,247,183,357,131,161,494,320,139
1757460089.2795799,454,301,232,305,201,389,372,348
1757460089.7944949,268,405,417,471,234,398,437,246
1757460090.3043149,276,476,187,275,340,378,227,221
1757460090.818496,126,410,110,180,197,189,232,423
1757460091.33216,336,327,124,411,213,370,306,409
1757460091.841938,324,424,150,393,169,174,271,328
1757460092.355063,324,436,428,142,124,188,156,174
1757460092.868854,347,102,231,178,403,357,241,258
1757460093.3825028,366,160,354,271,289,187,255,448
1757460093.8963468,226,239,352,462,434,323,465,426
1757460094.4087691,213,310,149,465,215,174,135,183
1757460094.915796,467,213,450,323,309,119,463,296
1757460095.421242,119,431,159,192,436,451,324,114
1757460095.9358,276,233,214,344,242,102,178,427
1757460096.447072,187,343,179,333,455,399,359,183
1757460096.960665,489,447,316,411,275,159,430,334
1757460097.4755871,259,197,281,434,432,451,210,435
1757460097.9895658,487,133,400,160,470,155,232,348
1757460098.503904,418,390,360,304,107,153,349,444
1757460099.0155919,217,456,388,110,300,252,482,218
1757460099.530947,495,164,403,409,248,401,380,167
1757460100.0435991,351,484,111,171,276,305,336,412
1757460100.5539231,407,275,211,311,208,227,123,388
1757460101.062704,216,220,100,404,109,168,434,116
1757460101.5709078,136,120,439,106,126,499,399,305
1757460102.074682,371,381,440,360,148,270,230,404
1757460102.578416,266,116,364,383,432,226,120,126
1757460103.0843542,156,449,213,329,159,357,183,292
1757460103.597482,235,361,474,314,168,280,105,343
1757460104.106125,381,352,200,480,375,452,293,416
1757460104.611906,150,451,354,481,280,423,103,500
1757460105.121763,204,166,349,418,224,296,394,211
1757460105.6349828,169,195,220,463,144,198,207,344
1757460106.148695,201,247,241,118,184,414,241,488
1757460106.660993,141,267,418,304,399,367,294,320
1757460107.172441,339,440,437,202,352,252,109,460
1757460107.684664,441,348,381,344,204,393,137,182
1757460108.198441,142,229,441,101,395,201,356,245
1757460108.7090628,113,292,376,289,338,168,247,289
1757460109.215488,429,484,233,100,392,207,297,404
1757460109.721406,416,498,355,249,360,237,278,283
1757460110.2298298,454,197,233,295,387,244,140,392
1757460110.7373388,155,395,116,395,296,183,478,427
1757460111.241909,156,156,426,413,300,188,286,335
1757460111.745839,283,314,371,409,141,445,172,439
1757460112.253103,417,375,297,429,200,370,332,461
1757460112.759957,392,476,115,250,164,306,365,374
1757460113.263715,113,393,442,383,267,338,475,175
1757460113.767474,279,389,408,255,150,137,232,356
1757460114.2794602,285,238,451,379,132,164,213,449
1757460114.789702,481,208,475,398,352,217,409,213
1757460115.3037372,297,354,445,112,236,474,481,304
1757460115.810724,425,496,149,464,324,157,247,336
1757460116.3247201,463,418,254,420,469,355,466,407
1757460116.8367329,493,269,473,164,266,390,192,395
1757460117.343939,131,240,251,393,203,421,120,122
1757460117.858175,406,188,266,270,358,466,433,140
1757460118.373426,365,466,148,402,157,278,417,267
1757460118.882071,321,150,144,379,301,396,252,229
1757460119.3922281,215,183,413,174,204,482,439,137
1757460119.897731,278,208,413,361,364,481,118,322
1757460120.401741,348,138,261,254,280,114,307,386
1757460120.905805,497,212,441,232,370,312,190,103
1757460121.4148521,388,289,384,285,175,379,221,190
1757460121.921268,487,149,365,495,242,112,488,141
1757460122.426534,409,479,301,139,402,113,202,265
1757460122.937983,301,142,363,451,211,332,283,135
1757460123.4512992,125,345,239,139,392,468,242,355
1757460123.963288,369,330,227,188,342,112,158,158
1757460124.4708328,193,413,125,487,155,357,133,222
1757460124.983229,108,174,334,100,420,167,348,186
1757460125.4944,478,175,414,353,188,248,122,374
1757460126.009888,248,179,447,275,485,396,494,445
